Date,Text
2015-05-19,भुकम्पको धक्का ले गर्दा हाम्रो मुटु चाई भुकम्प प्रतिरोधात्मक भयो 5 हेक्टर सम्म त मज्जाले थाम्छ !
2015-05-19,@mee_abiral ल्याङ्ग नगरन काका नेपाल बाहेक अरु सबै बिदेश त हुन्😂😂😂
2015-05-19,"दिउसो खतरा बतासे पेलेकी थियेउ , मैलाई होला के रे, :))  @ranitakhatry"
2015-05-19,.यि तरुनी नभैनी बोकैसग भैनी खुट्टो बोकाउन पछि परिन्न http://t.co/sOJSsYjEPG
2015-05-19,@PureScientist53 दि सक्यालाइ दियो भने त सकिहाल्छ नि फेरि :डि
2015-05-19,@jituroila राँटा छाडेर हिने बुढा राँटा छाडेर ....!!
2015-05-19,"बुडा जदौ!
तिम्रा कति गोटा भेडा/बाख्रा खन् र?
चरार पाल्चौ कि बाँनेर?
मलाई एउटा गज्जप्को ब्याडे बोको चाइएथ्यो र के"
2015-05-19,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂डाम्नाहरु😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
2015-05-19,"रातभरी पानी दर्कियो । बिहान कलेज जाने ट्याममा रोकियो तर समस्या ज्यु का त्यु
कलेज जाने बाटोभरी पानी जमेर उत्पातै छ ।"
2015-05-19,@Kanchopokharel त्यती अल्गो भएजस्तो त लाग्दैनौ बुढा तिमी ....!!
2015-05-19,"यति जो कोही पाटिले
राहत बितरणमा आपनो
पाटिकोलाईमात्र बाडछ भने
तेसतालाई कडा सजाय दिनु
पछ सरकारले नत्र भोली आउने
देसको भबिसिय उतानो पारने
छन ।"
2015-05-19,@SSoul999 गाईघाट कता तिर हो नि गुरु ।
2015-05-19,@kimigayoOO7 केटीको घराँ केटो गएर दैलो लिप्नु पर्छ भन्ने मेरो माग केटीको बाउबाट स्विकृत हुन नसकेपछि नेपाल आउनु बेक्कार भएको अवस्था ।
2015-05-19,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂माझी दाई😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
2015-05-19,@deepaksir हामी त उट संग बुढा अब उट लाई दाना दिने बेला भाछ
2015-05-19,@sabu_s1 पहिले पहिले त cute रैछेस त 😋😋
2015-05-19,@SSoul999 हिं हि..दलाई लामाले RT गरिराथ्यो अगी सम्म
2015-05-19,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂निश्चल😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
2015-05-19,सरकार र न्यायलय राष्ट्रको चिनाउने हाम्रो राष्ट्रिय झण्डाले गुप्ताङ्ग छोप्ने अधिकार कस्ले दियो तत्काल कार्बाही होस् ।
2015-05-19,भेडा भेडैसँग बाख्रा बाख्रैसँग ! बथान मिल्ने सँधै एकैठाम् !!
2015-05-19,"#CSK लाई हराउन अर्कोपट्टि #IndianMedia को टिम भ'का भए नि रामाराम सपोर्ट गरिन्थ्यो, द्याट्स इट!!"
2015-05-19,@anamolmani @kedarsh @KiranKrShresthaनिसंकोच स्थापित ज्यादै नै हावादारी लाग्चन!उनि पछिका अरुले बन्द गर्देको भएपनि हुन्थ्यो।सप्पै उस्तै ..
2015-05-19,"@khumrajsharma1 काँ गुण भन्या त रिण जस्तो हो है हेर्नु हजुर, तिरी हाल्नु पर्च"
2015-05-19,"@khimlalp दुबै मिलेर आम्नुस न, स्वागत गर्न अरु नसकेनी 2दिनसम्म बङ्क हान्न सकिन्छ काम्मा :))"
2015-05-19,लौ है सप्पैको शुभ होस् । गुड मर्निङ्
2015-05-19,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂रेलगाडी😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
2015-05-19,त्रिपाल र टहरा बनाउने कुरा मात्र आईराछ। चोरी डकैती र बलात्कार जस्ता घटना घटे पीड़कलाई कडा भन्दा कडा सजाय हुने कानून बन्नू पर्ने मा जोड़ दिऊ।
2015-05-19,@asambhab लात्तीले हानेर हो!!😂😂😂
2015-05-19,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂डाम्नाहरु 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
2015-05-19,@ibhurung नउठाउन - उठाउने उनिहर्ले हो र :))
2015-05-19,"भुईचालोले माया मार्यो भन्या त एकाविहानै
गुडमर्निङ भन्न पो अायो त छिट्टै माया मार्ला
जस्तो छैन"
2015-05-19,सिसि नै अर्नपर्निभसि बतासे बतासे रअन =डी
2015-05-19,शुभ प्रभात ! नमस्कार ! शुभ होस् ! आजको दिन सुखमय होस् !
2015-05-19,एका बिहानै देखि एउटिको नाटक हेर्दै छु टिएलमा! टोइट
2015-05-19,निश्चल दाई तिम्ले प्रेग्नेन्ट पार्ने नि डिएम बाटै होला है!!😂😂😂
2015-05-19,सहि झुक्के नि केहि बेर 😂😂😂
2015-05-19,"@khumrajsharma1 ए गुण नै लाउन त काँ एउटा रिटुईटले पुग्च त, मैले हाने जति हान्नु परोन्त 😆😆"
2015-05-19,लु भन्नुस आज ककस्लाइ फलो ब्याक दिनु पर्ने हो मैले ??
2015-05-19,सहि झुक्के नि केहि बेर 😂😂😂
2015-05-19,@tikananu है ! बॉधेर घास हाल्नु पर्ने क्या ! डाम्ना ! अनि संचै छ नि ? हराउनु भयो भनेर खुल्दुलि लाग्या थ्यो ।
2015-05-19,सहि झुक्के नि केहि बेर 😂😂😂
2015-05-19,उत्पात भएछ 😂😂😂|||
2015-05-19,बिहान उठ्ने बितिकै हिमाल हेर्न पाईयोस् यी हात्ले सधैसधै नेपाल लेख्न पाईयोस। जय नेपाल।
2015-05-19,@uniquejenisha मुरि मुरि बधाई  छ 😉😂
2015-05-19,निश्चल दाई तिम्ले प्रेग्नेन्ट पार्ने नि डिएम बाटै होला है!!😂😂😂
2015-05-19,रेलगाडी दाजै कता भागेचन!!
2015-05-19,मिठो मिठो कुरा गर्दै नअाऊ त........
2015-05-19,उत्पात भएछ 😂😂😂
2015-05-19,कति पार्नु र लप पनि ? तिमी त लोकेसन बदलेर लप पारेको छौ अरे त ? आफु त सीधै प्रेग्नेन्ट पारिन्च भाडमें जाए लप
2015-05-19,@b_luitel डाम्नीहरु त उठेका छैनन्
2015-05-19,@Abhimanyuth निकै तल पुग्यच दाजू डुबेर..तर डूब्दा निसास्सिनुको नी त बेग्लै मज्जा छ नी
2015-05-19,"माझी आज सप्तकोशीमा माछा मार्ने, मलाई टाउको, तिम्लाई पुच्छर आधाआधा पार्नी, जाऊ ढडिया लेराउ |"
2015-05-19,@b_luitel हिजो हान्या बतासे देख्न मोर्नु भएन केरे
2015-05-19,@khimlalp यो @majhiDaai ब्रेक फेल भाको गांडी हुन्😂😂😂
2015-05-19,"बिहान उठ्ने बितिकै ...हिमाल देखन् पाईयोस् ......,!"
2015-05-19,"@chule420vezza होइन,भुचालोमा परे जस्तो कुरा नगर्न हो तिमि"
2015-05-19,कति पार्नु र लप पनि ? तिमी त लोकेसन बदलेर लप पारेको छौ अरे त ? आफु त सीधै प्रेग्नेन्ट पारिन्च भाडमें जाए लप
2015-05-19,@majhiDaai कामै नभा जस्तो गांडी w😁😂😂
2015-05-19,"औरिका भाडा माझ्न लास्ट गार्हो भो यार | नखाऊ, दिनभरीको शिकार, खाऊ भने कान्छा बाउ को अनुहार "" त्यसैले औरिका भूलेर नआम्नुस भन्छु म |"
2015-05-19,डाम्नाहरु
2015-05-19,"५ गते भुकम्प नअाएमा झुन्डिन्छु भनेर ठाेकुवा गर्ने  पाेखराका ज्याेतिष कुन रुखमा झुन्डिए
थाहा नै पाइएन त।"
2015-05-19,रेलगाडी दाई कता भागेचन!!
2015-05-19,@sapanasharma8 चरी भएर उड्न मन छ र प्लेन बाट उडेर आउदा भयो नि
2015-05-19,मर्निङ अल
2015-05-19,@khumrajsharma1 कस्तो खालको गुणको कुरो परेच याँ? 😁😁
2015-05-19,"निश्चल जाऊ ! भेडा चराऊ , ढुकुर खेलाउ | बतासे मा लप पर्छ भनेर समय खेर नफाल | #NoOffence"
2015-05-19,"पुनःनिर्माणका लागि नेबिसंघले एक लाख स्वयंसेवक खटायो
http://t.co/4B484u2ezy http://t.co/CX0kw7a6hB"
2015-05-19,@SSoul999 होर गुरु यता झापा तिर नि परेको छ
2015-05-19,"निश्चल जाऊ ! भेडा चराऊ , ढुकुर खेलाउ | बतासे मा लप पर्छ भनेर समय खेर नफाल | #NoOffence"
2015-05-19,"खै बुडा, आदरको हिसाबले नमस्कर गरिछ
सबैले नबुझ्लान् वा गलत बुझ्लान् पनि
यसमा मेरो दोस देख्दिन है म"
